DECK;#;Nome da Carta;Tipo;Nível;Efeito;Ataque;Defesa;Cura;Char Count;Descrição da Imagem (Prompt IA)
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;1;Toque Sombrio;Ataque;Baixo;Cause 3 de dano em um oponente.;3;;;31  ✓;Mão espectral emergindo das sombras, brilho roxo-escuro, dedos alongados como garras. Fundo de névoa negra. Estilo fantasy realismo épico.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;2;Toque Sombrio;Ataque;Baixo;Cause 3 de dano em um oponente.;3;;;31  ✓;Mão espectral emergindo das sombras, brilho roxo-escuro, dedos alongados como garras. Fundo de névoa negra. Estilo fantasy realismo épico.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;3;Toque Sombrio;Ataque;Baixo;Cause 3 de dano em um oponente.;3;;;31  ✓;Mão espectral emergindo das sombras, brilho roxo-escuro, dedos alongados como garras. Fundo de névoa negra. Estilo fantasy realismo épico.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;4;Sombra Cortante;Ataque;Baixo;Cause 2 de dano. Se você tiver 3 ou menos cartas na mão, cause +2 (total 4).;2;;;76  ✓;Lâmina de sombra sólida cortando o ar, rastro de fumaça escura. Ambiente de masmorra com pouca luz. Iluminação dramática lateral.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;5;Sombra Cortante;Ataque;Baixo;Cause 2 de dano. Se você tiver 3 ou menos cartas na mão, cause +2 (total 4).;2;;;76  ✓;Lâmina de sombra sólida cortando o ar, rastro de fumaça escura. Ambiente de masmorra com pouca luz. Iluminação dramática lateral.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;6;Sombra Cortante;Ataque;Baixo;Cause 2 de dano. Se você tiver 3 ou menos cartas na mão, cause +2 (total 4).;2;;;76  ✓;Lâmina de sombra sólida cortando o ar, rastro de fumaça escura. Ambiente de masmorra com pouca luz. Iluminação dramática lateral.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;7;Dreno de Alma;Ataque;Baixo;Cause 2 de dano. Cure 2 de vida.;2;;2;32  ✓;Mão espectral envolvendo coração pulsante, luz vermelha sendo drenada em espiral. Atmosfera sombria e mística. Fundo escuro.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;8;Dreno de Alma;Ataque;Baixo;Cause 2 de dano. Cure 2 de vida.;2;;2;32  ✓;Mão espectral envolvendo coração pulsante, luz vermelha sendo drenada em espiral. Atmosfera sombria e mística. Fundo escuro.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;9;Crepúsculo;Ataque;Baixo;Cause 2 de dano em todos os oponentes.;2;;;38  ✓;Pôr do sol com tons de roxo e laranja, sombras se alongando pelo chão de uma taverna vazia. Sensação de fim de ciclo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;10;Crepúsculo;Ataque;Baixo;Cause 2 de dano em todos os oponentes.;2;;;38  ✓;Pôr do sol com tons de roxo e laranja, sombras se alongando pelo chão de uma taverna vazia. Sensação de fim de ciclo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;11;Lâmina das Sombras;Ataque;Médio;Cause 4 de dano. Descarte 1 carta da sua mão após o uso.;4;;;56  ✓;Guerreiro encapuzado empunhando duas lâminas negras, posição de ataque, capa esvoaçante. Fundo de tempestade noturna.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;12;Lâmina das Sombras;Ataque;Médio;Cause 4 de dano. Descarte 1 carta da sua mão após o uso.;4;;;56  ✓;Guerreiro encapuzado empunhando duas lâminas negras, posição de ataque, capa esvoaçante. Fundo de tempestade noturna.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;13;Espectro Voraz;Ataque;Médio;Cause 3 de dano. Se o oponente tiver 10 ou menos de vida, cause +2 (total 5).;3;;;77  ✓;Espectro translúcido com expressão faminta, braços estendidos, corpo de névoa esverdeada. Cenário de cemitério medieval.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;14;Espectro Voraz;Ataque;Médio;Cause 3 de dano. Se o oponente tiver 10 ou menos de vida, cause +2 (total 5).;3;;;77  ✓;Espectro translúcido com expressão faminta, braços estendidos, corpo de névoa esverdeada. Cenário de cemitério medieval.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;15;Manto da Noite;Defesa;Baixo;🛡️×3. No próximo turno, compre 1 carta.;;3;;39  ✓;Manto negro se estendendo infinitamente, estrelas distantes sendo engolidas pelo tecido. Proteção e mistério profundo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;16;Manto da Noite;Defesa;Baixo;🛡️×3. No próximo turno, compre 1 carta.;;3;;39  ✓;Manto negro se estendendo infinitamente, estrelas distantes sendo engolidas pelo tecido. Proteção e mistério profundo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;17;Abismo;Defesa;Baixo;🛡️×2. Se você tiver 10 ou menos de vida, absorve +2 (total 4).;;2;;62  ✓;Vórtice de escuridão com bordas roxas, sugando fragmentos de luz. Fundo de abismo sem fim, sensação de profundidade infinita.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;18;Abismo;Defesa;Baixo;🛡️×2. Se você tiver 10 ou menos de vida, absorve +2 (total 4).;;2;;62  ✓;Vórtice de escuridão com bordas roxas, sugando fragmentos de luz. Fundo de abismo sem fim, sensação de profundidade infinita.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;19;Escuridão Protetora;Defesa;Médio;🛡️×4. Quando destruída, cause 1 de dano ao atacante.;;4;;52  ✓;Escudo de sombra sólida com tentáculos escuros nas bordas prontos para contra-atacar. Iluminação dramática de baixo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;20;Regeneração Sombria;Cura;Baixo;Cure 3 de vida. Se você tiver 3 ou menos cartas na mão, cure +2 (total 5).;;;3;74  ✓;Mãos escuras envolvendo um cálice com líquido negro que brilha em vermelho. Energia sombria sendo regenerada.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;21;Regeneração Sombria;Cura;Baixo;Cure 3 de vida. Se você tiver 3 ou menos cartas na mão, cure +2 (total 5).;;;3;74  ✓;Mãos escuras envolvendo um cálice com líquido negro que brilha em vermelho. Energia sombria sendo regenerada.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;22;Pacto de Sangue;Cura;Médio;Cure 5 de vida. Você sofre 1 de dano.;;;5;37  ✓;Pergaminho com selo de sangue vermelho, mãos realizando pacto sombrio. Luz de velas tremulantes ao fundo. Atmosfera solene.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;23;Pacto Selado;Habilidade;Baixo;Compre 2 cartas. Depois, descarte 1 carta da sua mão.;;;;53  ✓;Mãos escuras segurando pergaminho que brilha em dourado, símbolos arcanos flutuando ao redor. Câmara subterrânea ao fundo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;24;Pacto Selado;Habilidade;Baixo;Compre 2 cartas. Depois, descarte 1 carta da sua mão.;;;;53  ✓;Mãos escuras segurando pergaminho que brilha em dourado, símbolos arcanos flutuando ao redor. Câmara subterrânea ao fundo.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;25;Sussurros;Habilidade;Baixo;Olhe a mão de um oponente. Escolha 1 carta para ele descartar.;;;;62  ✓;Vozes etéreas saindo de fendas negras, orelhas fantasmagóricas captando sussurros. Ambiente de silêncio tenso e escuridão.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;26;Sussurros;Habilidade;Baixo;Olhe a mão de um oponente. Escolha 1 carta para ele descartar.;;;;62  ✓;Vozes etéreas saindo de fendas negras, orelhas fantasmagóricas captando sussurros. Ambiente de silêncio tenso e escuridão.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;27;Necromancia;Habilidade;Baixo;Pegue 1 carta da sua pilha de descartes e coloque na mão.;;;;57  ✓;Grimório antigo aberto com páginas brilhando em verde fantasmagórico, almas emergindo do livro. Câmara de necromante.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;28;Espiral das Sombras;Habilidade;Médio;Todos os oponentes descartam 1 carta.;;;;37  ✓;Vórtice de escuridão sugando cartas e objetos como buraco negro mágico. Cenário de biblioteca em ruínas iluminada por velas.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;29;Eclipse;Especial;Alto;Cause 4 de dano em todos os oponentes. Descarte sua mão após o uso.;4;;;67  ✓;Sol negro cobrindo sol dourado, raios de luz sendo puxados para dentro da escuridão. Céu em tons de roxo e laranja intenso.
Pacto das Sombras  ·  Porter  ·  Controlador / Sombrio;30;Último Pacto;Especial;Alto;Cause 6 de dano. Você sofre 2 de dano. Só pode usar se tiver 5 ou menos de vida.;6;;;80  ✓;Mão esquelética emergindo das sombras, segurando pergaminho com selo de sangue. Chamas negras ao redor. Atmosfera de sacrifício.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;1;Garra do Lobo;Ataque;Baixo;Cause 2 de dano. Se você jogou outra carta neste turno, cause +1 (total 3).;2;;;75  ✓;Lobo sombrio em posição de ataque, garras com brilho verde-esmeralda. Fundo de floresta noturna densa. Iluminação lunar.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;2;Garra do Lobo;Ataque;Baixo;Cause 2 de dano. Se você jogou outra carta neste turno, cause +1 (total 3).;2;;;75  ✓;Lobo sombrio em posição de ataque, garras com brilho verde-esmeralda. Fundo de floresta noturna densa. Iluminação lunar.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;3;Garra do Lobo;Ataque;Baixo;Cause 2 de dano. Se você jogou outra carta neste turno, cause +1 (total 3).;2;;;75  ✓;Lobo sombrio em posição de ataque, garras com brilho verde-esmeralda. Fundo de floresta noturna densa. Iluminação lunar.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;4;Toque da Vida;Ataque;Baixo;Cause 2 de dano. Cure 1 de vida.;2;;1;32  ✓;Mãos de druida com luz verde, energia fluindo entre ataque e cura simultaneamente. Equilíbrio entre forças opostas na floresta.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;5;Toque da Vida;Ataque;Baixo;Cause 2 de dano. Cure 1 de vida.;2;;1;32  ✓;Mãos de druida com luz verde, energia fluindo entre ataque e cura simultaneamente. Equilíbrio entre forças opostas na floresta.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;6;Eco da Floresta;Ataque;Baixo;Cause 2 de dano em todos os oponentes. Cure 1 de vida.;2;;1;54  ✓;Ondas de energia verde irradiando de árvore anciã, curando quem lança e causando impacto ao redor. Clarão de luz solar.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;7;Eco da Floresta;Ataque;Baixo;Cause 2 de dano em todos os oponentes. Cure 1 de vida.;2;;1;54  ✓;Ondas de energia verde irradiando de árvore anciã, curando quem lança e causando impacto ao redor. Clarão de luz solar.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;8;Investida do Urso;Ataque;Médio;Cause 3 de dano. Se você jogou 2 ou mais cartas neste turno, cause +2 (total 5).;3;;;80  ✓;Urso enorme investindo com força bruta, musgo e terra voando ao redor. Sensação de poder bruto e impacto devastador.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;9;Investida do Urso;Ataque;Médio;Cause 3 de dano. Se você jogou 2 ou mais cartas neste turno, cause +2 (total 5).;3;;;80  ✓;Urso enorme investindo com força bruta, musgo e terra voando ao redor. Sensação de poder bruto e impacto devastador.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;10;Investida do Urso;Ataque;Médio;Cause 3 de dano. Se você jogou 2 ou mais cartas neste turno, cause +2 (total 5).;3;;;80  ✓;Urso enorme investindo com força bruta, musgo e terra voando ao redor. Sensação de poder bruto e impacto devastador.
Sangue de Druida  ·  Irish Red Ale  ·  Equilibrado / Conector;11;Escudo de Casca;Defesa;Baixo;🛡️×3. Ao ser destruído, cure 1 de vida.;;3;1;39  ✓;Escudo de madeira viva com raízes entrelaçadas e folhas brilhando suavemente. Proteção natural orgânica. Clareira ao fundo.
